link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
https://www.zomato.com/pune/kabablo-pimple-nilakh,"Kabablo
                                    ",NA,Pimple Nilakh,3.8,515,,,"Mughlai,Biryani,North Indian,Continental,Kebab,",400,Kadhi
https://www.zomato.com/pune/biryani-by-kilo-kharadi,"Biryani By Kilo
                                    ",NA,Kharadi,3.7,736,,,"Hyderabadi,Kebab,Mughlai,Biryani,",700,"Murgh Ghee Roast, Phirni, Chicken Biryani, Vegetable Biryani, Nawabi Paneer, Raita, Mutton Galouti Kabab"
https://www.zomato.com/pune/pimlico-koregaon-park,"Pimlico
                                    ",Cafe,Koregaon Park,4.1,378,3.9,127,"Italian,Continental,Cafe,",700,"Fries, Pizza, Pasta, Coffee, Hot Chocolate, Sandwich, Spaghetti"
https://www.zomato.com/pune/vaishali-fc-road,"Vaishali
                                    ",Casual Dining,FC Road,4.4,5745,4.6,9518,"Beverages,Fast Food,Sandwich,South Indian,",500,"Mysore Masala Dosa, Filtered Coffee, Idli, Upma, Bhel Puri, Tea, Sandwich"
https://www.zomato.com/pune/kfc-1-kharadi,"KFC
                                    ",Quick Bites,Kharadi,3.6,135,3.5,2231,"Beverages,Finger Food,Fast Food,Burger,",450,
https://www.zomato.com/pune/arabian-bites-kondhwa,"Arabian Bites
                                    ",Quick Bites,Kondhwa,4.3,1744,3.9,10900,"Arabian,",250,"Shawarma, Hyderabadi Biryani, Chicken Biryani, Hyderabadi Haleem, Falafel Roll, Chicken Shawarama, Chicken Burger"
https://www.zomato.com/pune/blue-nile-camp-area,"Blue Nile
                                    ",Casual Dining,Camp Area,4,2835,4.3,1601,"Desserts,Malwani,Mughlai,Chinese,North Indian,",800,"Chicken Biryani, Mutton Biryani, Tandoori Chicken, Caramel Custard, Kulfi, Fruit Salad, Chicken Manchow Soup"
https://www.zomato.com/pune/le-plaisir-deccan-gymkhana,"Le Plaisir
                                    ",Cafe,Deccan Gymkhana,4.9,4765,4.4,2660,"Cafe,Continental,Italian,European,","1,000","Pasta, Sandwich, Macaroon, Cheesecake, Salad, Hot Chocolate, Coffee"
https://www.zomato.com/pune/mcdonalds-1-kalyani-nagar,"McDonald's
                                    ",Quick Bites,"Mariplex Mall, Kalyani Nagar",4,525,4,7894,"Fast Food,Burger,",500,"Burgers, Iced Coffee, Mc Chicken, Hot Chocolate, Hot Coffee, Hash Brown, Coke Float"
https://www.zomato.com/pune/aromas-hyderabad-house-pimple-saudagar,"Aroma's Hyderabad House
                                    ",Casual Dining,Pimple Saudagar,4,1168,3.6,16500,"Chinese,Mughlai,Biryani,North Indian,",900,"Chicken 65, Chicken Dum Biryani, Hyderabadi Biryani, Aroma Paneer Biryani, Non Veg Biryani, Tandoori Chicken, Egg Biryani"
https://www.zomato.com/pune/barometer-kothrud,"Barometer
                                    ",Casual Dining,Kothrud,4.6,1591,4.4,1785,"Finger Food,North Indian,Asian,Continental,","1,500","Cocktails, Pizza, Pasta, Filtered Coffee, Nachos, Mocktails, Sangria"
https://www.zomato.com/pune/tiranga-bhuvan-kothrud-kothrud,"Tiranga Bhuvan Kothrud
                                    ",Casual Dining,Kothrud,4.3,1189,4.2,2209,"Biryani,North Indian,Maharashtrian,",800,"Chicken Biryani, Butter Chicken, Mutton Biryani, Mutton Curry, Tandoori Chicken, Mutton Handi, Gavran Chicken Handi"
https://www.zomato.com/pune/madinah-restaurant-kondhwa,"Madinah Restaurant
                                    ",Casual Dining,Kondhwa,4.1,2052,3.9,21300,"Mughlai,Chinese,North Indian,",400,"Chicken Biryani, Murgh Angara, Paratha, Tandoori Chicken, Shawarma, Chicken Handi, Beef Biryani"
https://www.zomato.com/pune/pk-biryani-house-karve-nagar,"PK Biryani House
                                    ",Casual Dining,Karve Nagar,4.1,1481,4.1,28300,"Seafood,North Indian,Biryani,",700,"Paneer Tikka Masala, Wings, Pandhra Rassa, Chicken Biryani, Paya Soup, Tandoori Chicken, Chicken Sticks"
https://www.zomato.com/pune/the-burger-house-koregaon-park,"The Burger House
                                    ",Quick Bites,Koregaon Park,3.8,1722,3.2,7506,"Fast Food,Burger,",400,"Burgers, Meat Platter, Salami Burger, Salad, Chicken Jumbo Burger, Hot Dog, Sandwich"
https://www.zomato.com/pune/p-k-dum-biryani-house-1-sinhgad-road,"P.K. Dum Biryani House
                                    ",Quick Bites,Sinhgad Road,4,463,4,904,"Biryani,Maharashtrian,North Indian,",550,"Dum Biryani, Tambada Rassa, Mutton Biryani, Chicken Thali"
https://www.zomato.com/pune/brahma-pure-veg-sinhgad-road,"Brahma Pure Veg
                                    ",Casual Dining,Sinhgad Road,4,642,4.3,2798,"Chinese,Street Food,North Indian,South Indian,",500,"Pav Bhaji, Roti, Biryani, Masala Papad, Butter Naan, Paneer Tikka Masala, Manchow Soup"
https://www.zomato.com/pune/cafe-zam-zam-kondhwa,"Cafe Zam Zam
                                    ",Quick Bites,Kondhwa,4.1,731,4,13600,"North Indian,Mughlai,Chinese,",400,"Paratha, Biryani, Butter Chicken, Seekh Kebab, Tea, Dalcha Khana, Chai"
https://www.zomato.com/pune/shiv-sai-chandan-nagar,"Shiv Sai
                                    ",Quick Bites,Chandan Nagar,3.7,190,3.8,7989,"Biryani,North Indian,Chinese,",400,Tandoori Roti
https://www.zomato.com/pune/masaledar-biryani-house-sadashiv-peth,"Masaledar Biryani House
                                    ",Quick Bites,Sadashiv Peth,4,222,3.9,17,"Biryani,",550,
https://www.zomato.com/pune/time-after-time-the-central-park-hotel-bund-garden,"Time After Time - The Central Park Hotel
                                    ",Casual Dining,"The Central Park Hotel, Bund Garden Road",3.9,344,3.6,63,"Italian,European,Thai,Chinese,North Indian,","1,600","Salad, Breakfast Buffet, Pudding, Gulab Jamun, Pasta, Croissant"
https://www.zomato.com/pune/pind-punjab-kharadi,"Pind Punjab
                                    ",Casual Dining,Kharadi,3.8,1522,3.9,28500,"Mughlai,Chinese,Kebab,North Indian,",800,"Lassi, Dal Makhani, Butter Chicken, Tandoori Chicken, Biryani, Veg Thali, Roti"
https://www.zomato.com/pune/garden-vada-pav-centre-erandwane,"Garden Vada Pav Centre
                                    ",Quick Bites,Erandwane,4.3,679,4.3,5850,"Street Food,",100,"Vada Pav, Buttermilk, Moong Bhaji, Masala Taak"
https://www.zomato.com/pune/hotel-sunrup-dange-chowk,"Hotel Sunrup
                                    ",Quick Bites,Dange Chowk,3.9,156,3.8,778,"North Indian,Maharashtrian,Chinese,",450,"Chicken Thali, Biryani, Mutton Thali"
https://www.zomato.com/pune/theobroma-koregaon-park,"Theobroma
                                    ",Bakery,Koregaon Park,4.2,401,4.6,1563,"Beverages,Fast Food,Desserts,Bakery,",900,"Cheesecake, Mousse, Sandwich, Hazelnut Pastry, Chocolate Overload Brownie, Dutch Truffle Pastry, Walnut Brownie"
https://www.zomato.com/pune/kayani-bakery-east-street,"Kayani Bakery
                                    ",Bakery,East Street,,,,,"Bakery,",150,"Mawa Cake, Mava Cake, Shrewsberry Biscuit, Chocolate Chip Cookie, Chocolate Walnut Cake, Fruit Cake, Plum Cake"
https://www.zomato.com/pune/dominos-pizza-kondhwa,"Domino's Pizza
                                    ",Quick Bites,Kondhwa,3.8,467,3.7,5610,"Italian,Pizza,",400,"Chocolava Cake, Red Pasta, Pizza Burger"
https://www.zomato.com/hennys-gourmet-food-truck,"Henny's Gourmet
                                    ","Food Truck,Dessert Parlor",Wanowrie,4.7,1351,,,"Desserts,",300,"Banana Caramel, Banana Nutella Waffle, Belgium Chocolate, Cream Mango, Banana Waffles, Blueberry Waffles, Chocolate Waffles"
https://www.zomato.com/pune/george-restaurant-east-street,"George Restaurant
                                    ",Casual Dining,East Street,4.1,2737,3.9,243,"Biryani,Chinese,North Indian,",800,"Butter Chicken, Tandoori Chicken, Mutton Biryani, Chicken Biryani, Sea Food, Chicken Tikka Masala, Rotisserie Chicken"
https://www.zomato.com/pune/burger-king-hinjawadi,"Burger King
                                    ",Quick Bites,Hinjawadi,4,512,3.6,14100,"Beverages,Fast Food,Burger,",500,"Burgers, Iced Tea, Chicken Tandoori Grill Burger, Chicken Fries, Veg Burger, Tandoor Chicken Burger, Egg Burger"
https://www.zomato.com/pune/punjabi-treat-ravet,"Punjabi TREAT
                                    ",Casual Dining,Ravet,3.9,375,3.9,4243,"Biryani,Fast Food,Bengali,Seafood,Mughlai,Chinese,North Indian,",800,"Paneer Banjara, Sea Food, Chilli Paneer, Paneer Angara Masala, Butter Naan, Chicken Biryani, Sandwich"
https://www.zomato.com/pune/momos-corrner-koregaon-park,"Momo's Corrner
                                    ",Quick Bites,Koregaon Park,4.5,707,3.9,4814,"Beverages,Tibetan,Momos,",200,"Chicken Tandoori Momos, Chicken Momo, Spicy Momo, Kurkure Momo, Veg Momos, Chilli Momo, Paneer Momos"
https://www.zomato.com/pune/chole-di-rasoi-pimple-saudagar,"Chole Di Rasoi
                                    ",Quick Bites,Pimple Saudagar,3.8,41,,,"North Indian,",300,
https://www.zomato.com/pune/malaka-spice-koregaon-park,"Malaka Spice
                                    ","Casual Dining,Bar",Koregaon Park,4.7,4872,4.1,5307,"Salad,Asian,Korean,Japanese,Vietnamese,Thai,Malaysian,","1,800","Cocktails, Mutton Chops, Salad, Lamb Chops, Wine, Fish, Apple Pie"
https://www.zomato.com/pune/abhishek-veg-restaurant-erandwane,"Abhishek Veg Restaurant
                                    ",Casual Dining,Erandwane,4.2,1191,3.8,1316,"Chinese,Fast Food,Street Food,North Indian,South Indian,",600,"Pav Bhaji, Brownie Chocolate, Masala Papad, Jeera Rice, Masala Dosa, Veg Jalfrezi, Paneer Tikka"
